data_i;cod_staz;cod_aggr;radglob
2021-09-02 00:00:00;6660;4;((24, 1), 241.2, 24.9, 63.0, 0.0)
2021-09-03 00:00:00;6660;4;((24, 1), 231.0, 23.6, 62.0, 0.0)
2021-09-04 00:00:00;6660;4;((24, 1), 181.1, 19.9, 62.0, 0.0)
2021-09-05 00:00:00;6660;4;((24, 1), 210.7, 23.4, 61.0, 0.0)
2021-09-06 00:00:00;6660;4;((24, 1), 202.0, 20.4, 54.0, 0.0)
2021-09-07 00:00:00;6660;4;((24, 1), 224.7, 24.2, 61.0, 0.0)
2021-09-08 00:00:00;6660;4;((24, 1), 212.6, 23.2, 64.0, 0.0)
2021-09-09 00:00:00;6660;4;((24, 1), 220.8, 23.5, 59.0, 0.0)
2021-09-10 00:00:00;6660;4;((24, 1), 188.4, 21.8, 58.0, 0.0)
2021-09-11 00:00:00;6660;4;((24, 1), 170.5, 19.7, 57.0, 0.0)
2021-09-12 00:00:00;6660;4;((24, 1), 219.4, 23.0, 58.0, 0.0)
2021-09-13 00:00:00;6660;4;((24, 1), 222.3, 23.4, 59.0, 0.0)
2021-09-14 00:00:00;6660;4;((24, 1), 214.1, 22.9, 58.0, 0.0)
2021-09-15 00:00:00;6660;4;((24, 1), 148.2, 15.9, 53.0, 0.0)
2021-09-16 00:00:00;6660;4;((24, 1), 161.3, 17.9, 49.0, 0.0)
2021-09-17 00:00:00;6660;4;((24, 1), 123.5, 13.8, 39.0, 0.0)
2021-09-18 00:00:00;6660;4;((24, 1), 165.6, 17.7, 52.0, 0.0)
2021-09-19 00:00:00;6660;4;((24, 1), 152.1, 17.5, 51.0, 0.0)
2021-09-20 00:00:00;6660;4;((24, 1), 156.4, 17.0, 52.0, 0.0)
2021-09-21 00:00:00;6660;4;((24, 1), 88.1, 12.2, 42.0, 0.0)
2021-09-22 00:00:00;6660;4;((24, 1), 197.1, 22.0, 55.0, 0.0)
2021-09-23 00:00:00;6660;4;((24, 1), 199.0, 21.6, 56.0, 0.0)
2021-09-24 00:00:00;6660;4;((24, 1), 200.5, 21.7, 55.0, 0.0)
2021-09-25 00:00:00;6660;4;((24, 1), 181.1, 19.8, 51.0, 0.0)
2021-09-26 00:00:00;6660;4;((24, 1), 155.0, 17.4, 50.0, 0.0)
2021-09-27 00:00:00;6660;4;((24, 1), 131.7, 15.9, 45.0, 0.0)
2021-09-28 00:00:00;6660;4;((24, 1), 164.7, 19.5, 53.0, 0.0)
2021-09-29 00:00:00;6660;4;((24, 1), 169.5, 19.4, 54.0, 0.0)
2021-09-30 00:00:00;6660;4;((24, 1), 131.7, 16.5, 47.0, 0.0)
2021-10-01 00:00:00;6660;4;((24, 1), 178.2, 20.5, 55.0, 0.0)
2021-10-02 00:00:00;6660;4;((24, 1), 142.9, 16.4, 46.0, 0.0)
2021-10-03 00:00:00;6660;4;((24, 1), 156.9, 18.6, 49.0, 0.0)
2021-10-04 00:00:00;6660;4;((24, 1), 165.6, 19.0, 49.0, 0.0)
2021-10-05 00:00:00;6660;4;((24, 1), 98.3, 11.5, 35.0, 0.0)
2021-10-06 00:00:00;6660;4;((24, 1), 38.3, 4.7, 15.0, 0.0)
2021-10-07 00:00:00;6660;4;((24, 1), 27.1, 4.4, 17.0, 0.0)
2021-10-08 00:00:00;6660;4;((24, 1), 22.3, 2.9, 9.0, 0.0)
2021-10-09 00:00:00;6660;4;((24, 1), 69.3, 9.4, 35.0, 0.0)
2021-10-10 00:00:00;6660;4;((24, 1), 58.1, 7.5, 26.0, 0.0)
2021-10-11 00:00:00;6660;4;((24, 1), 46.5, 5.8, 18.0, 0.0)
2021-10-12 00:00:00;6660;4;((24, 1), 130.3, 15.0, 42.0, 0.0)
2021-10-13 00:00:00;6660;4;((24, 1), 137.1, 17.1, 44.0, 0.0)
2021-10-14 00:00:00;6660;4;((24, 1), 122.0, 14.2, 40.0, 0.0)
2021-10-15 00:00:00;6660;4;((24, 1), 150.1, 17.7, 46.0, 0.0)
2021-10-16 00:00:00;6660;4;((24, 1), 152.6, 17.9, 47.0, 0.0)
2021-10-17 00:00:00;6660;4;((24, 1), 63.0, 8.4, 29.0, 0.0)
2021-10-18 00:00:00;6660;4;((24, 1), 134.6, 16.6, 47.0, 0.0)
2021-10-19 00:00:00;6660;4;((24, 1), 147.2, 17.5, 46.0, 0.0)
2021-10-20 00:00:00;6660;4;((24, 1), 144.3, 17.3, 45.0, 0.0)
2021-10-21 00:00:00;6660;4;((24, 1), 55.2, 6.3, 16.0, 0.0)
2021-10-22 00:00:00;6660;4;((24, 1), 74.1, 9.2, 25.0, 0.0)
2021-10-23 00:00:00;6660;4;((24, 1), 52.8, 8.4, 30.0, 0.0)
2021-10-24 00:00:00;6660;4;((24, 1), 100.7, 13.0, 36.0, 0.0)
2021-10-25 00:00:00;6660;4;((24, 1), 101.7, 12.8, 35.0, 0.0)
2021-10-26 00:00:00;6660;4;((24, 1), 52.3, 7.3, 24.0, 0.0)
2021-10-27 00:00:00;6660;4;((24, 1), 123.5, 15.2, 41.0, 0.0)
2021-10-28 00:00:00;6660;4;((24, 1), 124.0, 15.4, 41.0, 0.0)
2021-10-29 00:00:00;6660;4;((24, 1), 111.4, 14.1, 38.0, 0.0)
2021-10-30 00:00:00;6660;4;((24, 1), 110.9, 14.5, 38.0, 0.0)
2021-10-31 00:00:00;6660;4;((24, 1), 109.0, 14.3, 40.0, 0.0)
2021-11-01 00:00:00;6660;4;((24, 1), 50.4, 7.1, 23.0, 0.0)
2021-11-02 00:00:00;6660;4;((24, 1), 126.9, 15.6, 40.0, 0.0)
2021-11-03 00:00:00;6660;4;((24, 1), 28.6, 3.6, 11.0, 0.0)
2021-11-04 00:00:00;6660;4;((24, 1), 101.2, 13.6, 44.0, 0.0)
