data_i;cod_staz;cod_aggr;ur;ur00;ur01;ur02;ur03;ur04;ur05;ur06;cl_ur06;ur07;ur08;ur09;ur10;ur11;ur12;cl_ur12;ur13;ur14;ur15;ur16;ur17;ur18;ur19;ur20;ur21;ur22;ur23
2021-05-05 00:00:00;6660;4;((24, 1), 73.7, 14.3, (None, None), 97.0, 55.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-06 00:00:00;6660;4;((24, 1), 68.1, 11.5, (None, None), 93.0, 58.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-07 00:00:00;6660;4;((24, 1), 65.8, 15.4, (None, None), 88.0, 39.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-08 00:00:00;6660;4;((24, 1), 79.5, 14.1, (None, None), 100.0, 59.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-09 00:00:00;6660;4;((24, 1), 77.5, 17.5, (None, None), 100.0, 50.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-10 00:00:00;6660;4;((24, 1), 80.9, 15.7, (None, None), 100.0, 60.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-11 00:00:00;6660;4;((24, 1), 78.4, 13.2, (None, None), 99.0, 59.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-12 00:00:00;6660;4;((24, 1), 61.2, 11.9, (None, None), 86.0, 41.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-13 00:00:00;6660;4;((24, 1), 67.0, 15.1, (None, None), 99.0, 44.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-14 00:00:00;6660;4;((24, 1), 68.1, 19.9, (None, None), 99.0, 40.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-15 00:00:00;6660;4;((24, 1), 81.8, 13.4, (None, None), 100.0, 58.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-16 00:00:00;6660;4;((24, 1), 93.3, 9.2, (None, None), 100.0, 67.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-17 00:00:00;6660;4;((24, 1), 76.8, 25.4, (None, None), 100.0, 34.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-18 00:00:00;6660;4;((24, 1), 54.2, 19.7, (None, None), 96.0, 30.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-19 00:00:00;6660;4;((24, 1), 66.4, 11.3, (None, None), 97.0, 53.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-20 00:00:00;6660;4;((24, 1), 57.5, 18.4, (None, None), 80.0, 34.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-21 00:00:00;6660;4;((24, 1), 54.8, 17.9, (None, None), 79.0, 34.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-22 00:00:00;6660;4;((24, 1), 62.0, 17.3, (None, None), 82.0, 35.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-23 00:00:00;6660;4;((24, 1), 75.0, 19.8, (None, None), 100.0, 49.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-24 00:00:00;6660;4;((24, 1), 91.1, 10.3, (None, None), 100.0, 75.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-25 00:00:00;6660;4;((24, 1), 86.6, 12.3, (None, None), 100.0, 68.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-26 00:00:00;6660;4;((24, 1), 74.1, 18.7, (None, None), 100.0, 48.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-27 00:00:00;6660;4;((24, 1), 68.1, 17.6, (None, None), 95.0, 45.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-28 00:00:00;6660;4;((24, 1), 66.2, 16.6, (None, None), 91.0, 46.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-29 00:00:00;6660;4;((24, 1), 65.3, 20.7, (None, None), 100.0, 40.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-30 00:00:00;6660;4;((24, 1), 76.2, 20.4, (None, None), 100.0, 45.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-31 00:00:00;6660;4;((24, 1), 67.3, 16.0, (None, None), 88.0, 43.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-06-01 00:00:00;6660;4;((24, 1), 59.5, 18.4, (None, None), 89.0, 38.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-06-02 00:00:00;6660;4;((24, 1), 60.4, 16.1, (None, None), 83.0, 40.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-06-03 00:00:00;6660;4;((24, 1), 60.9, 13.2, (None, None), 80.0, 46.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-06-04 00:00:00;6660;4;((24, 1), 59.7, 13.9, (None, None), 82.0, 42.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-06-05 00:00:00;6660;4;((24, 1), 62.0, 11.8, (None, None), 81.0, 42.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-06-06 00:00:00;6660;4;((24, 1), 74.5, 13.4, (None, None), 100.0, 53.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-06-07 00:00:00;6660;4;((24, 1), 91.6, 11.4, (None, None), 100.0, 64.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-06-08 00:00:00;6660;4;((24, 1), 85.9, 11.7, (None, None), 100.0, 67.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-06-09 00:00:00;6660;4;((24, 1), 73.7, 14.5, (None, None), 97.0, 53.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-06-10 00:00:00;6660;4;((24, 1), 67.5, 14.0, (None, None), 90.0, 47.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-06-11 00:00:00;6660;4;((24, 1), 67.2, 15.6, (None, None), 91.0, 46.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-06-12 00:00:00;6660;4;((24, 1), 62.0, 12.2, (None, None), 83.0, 46.0);;;;;;;;;;;;;;;;;;;;;;;;;;
